Chapter,Verse,Text
1,1,"Dhritarashtra spoke:  On the field of Dharma, on the field of the Kurus, they have assembled and are eager to fight, my men on one side and the sons of Pandu on the other. What did they do, Sanjaya?"
1,2,"Sanjaya spoke: Your son Duryodhana saw the army of the Pandavas drawn up for battle, and then he, the king, approached his teacher, Drona, and spoke these words:"
1,3,"""My teacher, look at this magnificent army of Pandu's sons and their men all drawn up and led by your wise student, Dhristadhyumna, the son of Drupada!"
1,4,"There they are, warriors, great archers, all of them equal in battle to Bhima and Arjuna, Yuyudhana and Virata, and Drupada as well, the great chariot warrior!"
1,5,"And Dhrstaketu and Cekitana and the king of Kasi, a heroic man! And also Purujit and Kuntibhoja, and that bull among men, the king of the Sibis!"
1,6,"Also there is that broad-striding Yudhamanyu, and Uttamaujas, also a hero, and Subhadra's son, and Draupadi's sons--all of them great chariot warriors!"
1,7,"And now notice, O best of the twice-born Brahmins, these others, the most distinguished among us, the leaders of my army: I tell you their names so that you will remember them! "
1,8,"You yourself, my lord Drona, and Bhisma and Karna, and Krpa, the winner of many battles! And Ashvatthama and Vikarna, and Somadatta's son as well!"
1,9,"And many other warriors willing to give up their lives for my sake, with their many weapons, all of them war-seasoned!"
1,10,"The strength of this army of ours is unmatched, led as it is by Bhisma, whereas that army of theirs, led as it is by Bhima, can easily be matched! "
1,11,"And so in all of your strategic movements, stationed wherever you are ordered to be, may all of you, all of you, protect Bhisma!"""
1,12,"It delighted Duryodhana when the aged grandfather of the Kurus, Bhisma, roared out a lion's roar and blew his conch shell, full of fire."
1,13,"Then conch shells and drums, and cymbals, and tabors and trumpets, all at once resounded. The sound was thunderous!"
1,14,"And standing there on their great chariot yoked to white stallions, Krsna Madhava and Arjuna, the son of Pandu, also blew their celestial conch shells."
1,15,"Krsna blew the horn that had belonged to Pancajanya, Arjuna blew his Gift-of-God conch shell, and fierce wolf-bellied Bhima blew the great Paundra horn."
1,16,"Yudhishthira the king, the son of Kunti, in turn blew the horn of endless victory, while Nakula and Sahadeva blew the sweet-toned and the jewel-toned conch shells."
1,17,"The king of Kasi, a master archer, and Sikandhin the great chariot rider, and Dhrstadyumna, and Virata and Satyaki the unconquered,"
1,18,"and Drupada and the sons of Draupadi and the mighty-armed son of Subhadra--all at once, my king, they all blew their conch shells, over and over again and in all directions!"
1,19,"That sound pierced the hearts of Dhritarashtra's men, and the thunder of it made heaven and earth shake!"
1,20,"Then Arjuna, his war banner displaying the sign of the monkey, looked upon Dhritarashtra's men, just as the clashing of the weapons was to begin. And then the son of Pandu raised his bow"
1,21,"And, my king, he spoke these words to Krsna: ""O unshakable one, stop my chariot here in the middle, between these two armies,"
1,22,"where I can see these men fixed in their positions and eager to fight, these men who are ready to fight against me in the strain of war."
1,23,"I see them gathered here, these men who are set to fight, hungry to please in battle Dhritarashtra's reckless son."""
1,24,"O Bharata, Krsna heard the words that Arjuna spoke, and he stopped that excellent chariot between the two armies."
1,25,"Standing before Bhisma and Drona and all of the great kings, Krsna spoke: ""Arjuna, here they are, the assembled Kurus. Look at them!"""
1,26,"Arjuna looked upon them there where they stood, fathers and grandfathers, teachers, uncles and brothers, sons and grandsons, and companions,"
1,27,"fathers-in-law and dear friends, in both of the armies. Seeing them all standing there, his kinsmen,"
1,28,"Arjuna was overwhelmed by deep compassion, and in despair he said, ""Krsna, yes, I see my kinsmen gathered here and ready to fight."
